student_key,programme,faculty,gender,international_flag,study_level,length_of_stay_months,avg_wellbeing,avg_stress,avg_sleep,avg_loneliness,used_support
STU-00022,Business,Business,Male,1,Undergraduate,16,72.67,48.87,6.37,49.57,0
STU-00023,Engineering,Engineering,Female,0,Undergraduate,21,61.27,46.23,5.43,45.1,0
STU-00024,Engineering,Engineering,Female,0,Undergraduate,43,72.0,48.57,6.2,59.4,0
STU-00025,Health,Health,Female,0,Undergraduate,41,81.87,50.4,6.97,61.17,0
STU-00026,Health,Health,Female,0,Undergraduate,44,83.47,36.33,5.97,39.97,0
STU-00027,Business,Business,Male,0,Postgraduate,6,66.6,49.83,7.07,49.0,0
STU-00028,Engineering,Engineering,Female,0,Undergraduate,24,78.8,37.37,6.8,46.5,0
STU-00029,Computing,Technology,Female,0,Undergraduate,21,69.83,41.57,6.1,33.47,0
STU-00030,Engineering,Engineering,Female,1,Undergraduate,9,61.93,47.07,5.67,52.07,0
STU-00031,Social Sciences,Social Sciences,Female,0,Undergraduate,39,74.53,48.27,6.47,47.83,0
STU-00032,Computing,Technology,Female,1,Postgraduate,5,59.97,52.3,4.97,46.8,1
STU-00033,Computing,Technology,Female,0,Postgraduate,33,75.13,43.03,5.73,37.97,0
STU-00034,Computing,Technology,Female,0,Postgraduate,8,73.4,44.73,6.57,41.67,0
STU-00035,Social Sciences,Social Sciences,Prefer not to say,0,Undergraduate,31,71.93,46.73,5.73,55.5,0
STU-00036,Arts,Humanities,Male,1,Undergraduate,34,77.9,36.7,6.5,38.13,0
STU-00037,Health,Health,Female,1,Undergraduate,43,75.3,41.77,5.7,40.23,0
STU-00038,Engineering,Engineering,Female,1,Undergraduate,10,59.2,44.53,6.03,53.87,0
STU-00039,Arts,Humanities,Male,0,Undergraduate,27,75.27,48.9,6.0,44.87,0
STU-00040,Computing,Technology,Male,0,Undergraduate,35,76.3,50.1,6.1,49.33,0
STU-00041,Health,Health,Male,0,Undergraduate,31,76.6,39.27,6.83,49.67,0
STU-00042,Engineering,Engineering,Female,0,Undergraduate,11,63.17,48.6,6.13,46.23,0
STU-00043,Arts,Humanities,Male,0,Postgraduate,23,71.5,38.67,5.87,43.47,0
STU-00044,Computing,Technology,Prefer not to say,0,Undergraduate,37,68.6,48.53,6.4,33.73,0
STU-00045,Health,Health,Male,0,Undergraduate,1,60.4,50.77,6.47,39.13,0
STU-00046,Business,Business,Female,0,Undergraduate,14,71.87,35.7,6.57,40.53,0
STU-00047,Computing,Technology,Male,0,Undergraduate,8,70.57,46.63,6.33,43.1,0
STU-00048,Health,Health,Female,0,Postgraduate,1,74.47,36.33,6.87,56.23,0
STU-00049,Health,Health,Female,0,Undergraduate,3,65.43,46.0,6.37,54.07,0
STU-00050,Engineering,Engineering,Male,0,Postgraduate,36,66.4,49.63,5.0,36.67,0
STU-00051,Social Sciences,Social Sciences,Female,0,Postgraduate,38,72.27,41.3,5.83,36.93,0
STU-00052,Engineering,Engineering,Female,0,Undergraduate,22,66.27,36.17,6.3,53.1,0
STU-00053,Business,Business,Male,0,Undergraduate,20,72.47,40.5,5.27,47.87,0
STU-00054,Computing,Technology,Prefer not to say,1,Undergraduate,12,57.07,53.73,6.93,43.03,0
STU-00055,Computing,Technology,Female,1,Postgraduate,37,77.07,36.47,6.53,47.5,0
STU-00056,Engineering,Engineering,Male,0,Undergraduate,24,70.2,50.97,6.53,41.9,0
STU-00057,Business,Business,Male,1,Postgraduate,28,65.83,61.17,5.6,41.73,1
STU-00058,Arts,Humanities,Female,0,Postgraduate,43,69.57,42.03,5.77,27.5,0
STU-00059,Arts,Humanities,Female,0,Undergraduate,18,82.03,35.8,6.57,41.93,0
STU-00060,Arts,Humanities,Female,0,Undergraduate,31,66.87,47.33,5.57,45.27,0
STU-00061,Business,Business,Male,0,Undergraduate,30,75.27,37.37,5.77,44.07,0
STU-00062,Health,Health,Female,0,Postgraduate,30,73.03,44.37,4.53,39.53,0
STU-00063,Business,Business,Male,0,Postgraduate,39,77.87,37.07,6.23,34.57,0
STU-00064,Business,Business,Female,0,Undergraduate,17,67.47,53.03,6.67,42.77,0
STU-00065,Arts,Humanities,Male,1,Postgraduate,22,65.5,56.3,6.07,44.97,1
STU-00066,Business,Business,Male,0,Undergraduate,32,71.6,43.53,5.57,42.8,0
STU-00067,Social Sciences,Social Sciences,Male,0,Postgraduate,5,68.53,46.07,6.13,29.03,1
STU-00068,Arts,Humanities,Male,0,Undergraduate,39,77.87,43.03,6.43,52.27,0
STU-00069,Computing,Technology,Male,1,Postgraduate,24,77.5,39.13,6.4,43.13,0
STU-00070,Health,Health,Female,0,Undergraduate,3,64.03,55.0,6.67,64.13,0
STU-00071,Social Sciences,Social Sciences,Female,1,Undergraduate,21,75.0,47.37,5.63,46.73,0
STU-00072,Health,Health,Male,0,Postgraduate,16,76.07,52.17,6.1,31.6,0
STU-00073,Business,Business,Male,0,Undergraduate,28,74.0,37.03,5.6,44.7,0
STU-00074,Arts,Humanities,Female,0,Undergraduate,19,74.03,38.53,5.87,36.33,0
STU-00075,Health,Health,Male,0,Undergraduate,25,65.33,51.13,6.0,50.53,0
STU-00076,Engineering,Engineering,Female,1,Postgraduate,40,63.83,47.5,6.7,44.83,0
STU-00077,Engineering,Engineering,Female,0,Undergraduate,8,56.67,43.27,5.27,45.5,1
STU-00078,Health,Health,Female,0,Undergraduate,9,65.73,47.97,6.27,56.53,0
STU-00079,Health,Health,Female,1,Postgraduate,46,67.07,40.1,5.87,24.17,0
STU-00080,Social Sciences,Social Sciences,Male,1,Undergraduate,4,63.5,50.67,5.97,41.43,0
STU-00081,Computing,Technology,Female,0,Undergraduate,16,70.0,47.9,6.43,49.07,0
STU-00082,Social Sciences,Social Sciences,Male,1,Undergraduate,41,72.0,49.33,6.2,37.47,0
STU-00083,Computing,Technology,Female,1,Undergraduate,20,71.27,30.97,7.2,43.43,0
STU-00084,Computing,Technology,Male,0,Undergraduate,34,71.8,49.23,5.27,38.17,0
STU-00085,Social Sciences,Social Sciences,Male,0,Undergraduate,4,68.33,45.4,5.83,42.37,0
STU-00086,Arts,Humanities,Female,0,Undergraduate,24,76.37,45.7,6.1,51.37,0
STU-00087,Computing,Technology,Male,1,Undergraduate,3,59.53,50.5,6.53,40.57,0
STU-00088,Social Sciences,Social Sciences,Female,0,Undergraduate,17,76.5,37.3,6.53,50.73,0
STU-00089,Computing,Technology,Female,0,Undergraduate,10,64.37,57.43,5.7,48.73,0
STU-00090,Health,Health,Female,1,Postgraduate,7,62.53,45.9,6.43,54.47,0
STU-00091,Health,Health,Male,0,Undergraduate,48,75.5,36.8,5.47,44.23,0
STU-00092,Health,Health,Female,1,Undergraduate,26,68.57,48.47,6.73,38.4,0
STU-00093,Business,Business,Female,1,Postgraduate,29,78.3,44.37,6.57,40.7,0
STU-00094,Engineering,Engineering,Male,0,Postgraduate,45,65.8,48.9,5.47,26.37,0
STU-00095,Arts,Humanities,Female,1,Undergraduate,9,78.87,33.33,7.0,45.8,0
STU-00096,Arts,Humanities,Female,0,Undergraduate,19,73.83,33.3,6.0,44.67,0
STU-00097,Business,Business,Female,0,Undergraduate,26,76.67,41.9,5.53,49.3,0
STU-00098,Computing,Technology,Prefer not to say,0,Postgraduate,11,75.0,48.97,5.87,49.2,0
STU-00099,Social Sciences,Social Sciences,Female,0,Undergraduate,36,74.7,47.37,5.63,51.87,0
STU-00100,Health,Health,Male,0,Undergraduate,27,78.0,38.67,6.77,48.77,0
STU-00101,Computing,Technology,Male,0,Undergraduate,16,66.87,43.93,6.4,29.8,0
STU-00102,Social Sciences,Social Sciences,Male,0,Undergraduate,3,65.13,47.63,6.37,51.07,0
STU-00103,Business,Business,Male,0,Undergraduate,44,78.3,35.83,6.53,50.63,0
STU-00104,Health,Health,Female,0,Postgraduate,34,72.2,47.67,6.0,31.0,1
STU-00105,Health,Health,Non-binary,0,Undergraduate,37,79.23,48.77,5.67,43.6,0
STU-00106,Arts,Humanities,Female,1,Postgraduate,7,69.8,49.87,6.47,56.23,0
STU-00107,Engineering,Engineering,Female,0,Undergraduate,45,60.53,40.23,6.2,39.4,0
STU-00108,Arts,Humanities,Female,0,Postgraduate,8,73.2,29.2,6.5,44.47,0
STU-00109,Computing,Technology,Male,1,Undergraduate,47,68.2,52.67,6.17,54.0,0
STU-00110,Arts,Humanities,Female,0,Postgraduate,32,76.37,48.37,6.2,50.5,0
STU-00111,Health,Health,Prefer not to say,0,Postgraduate,44,74.07,56.67,6.07,41.87,0
STU-00112,Social Sciences,Social Sciences,Female,0,Undergraduate,12,58.7,55.5,5.83,49.27,0
STU-00113,Business,Business,Female,0,Undergraduate,42,78.83,42.07,6.27,59.83,0
STU-00114,Engineering,Engineering,Female,0,Undergraduate,36,70.83,46.37,6.53,49.83,0
STU-00115,Arts,Humanities,Male,0,Undergraduate,43,79.5,42.03,6.73,53.7,0
STU-00116,Engineering,Engineering,Female,0,Postgraduate,39,66.2,45.5,5.47,45.33,0
STU-00117,Arts,Humanities,Female,1,Undergraduate,13,73.53,51.27,5.9,38.6,0
STU-00118,Social Sciences,Social Sciences,Female,0,Undergraduate,41,67.87,44.23,5.3,49.23,0
STU-00119,Engineering,Engineering,Female,0,Undergraduate,23,74.07,50.6,6.57,41.67,0
STU-00120,Arts,Humanities,Female,0,Undergraduate,35,72.2,51.37,5.43,42.17,0
STU-00121,Engineering,Engineering,Female,1,Postgraduate,18,65.87,48.73,5.97,39.1,0
STU-00122,Business,Business,Female,0,Undergraduate,21,62.77,54.33,5.7,38.4,0
STU-00123,Arts,Humanities,Female,0,Undergraduate,15,78.2,41.23,5.4,40.5,0
STU-00124,Computing,Technology,Prefer not to say,0,Undergraduate,32,79.07,38.1,6.6,45.57,0
STU-00125,Health,Health,Male,0,Undergraduate,32,66.47,52.97,6.1,41.87,1
STU-00126,Arts,Humanities,Female,0,Undergraduate,2,58.13,47.5,5.9,56.1,1
STU-00127,Health,Health,Female,1,Postgraduate,1,66.4,39.17,5.87,51.5,0
STU-00128,Social Sciences,Social Sciences,Female,0,Undergraduate,6,63.9,51.13,6.0,55.3,0
STU-00129,Business,Business,Male,1,Postgraduate,40,71.9,47.33,5.53,49.9,0
STU-00130,Business,Business,Male,0,Undergraduate,7,70.47,52.27,5.63,53.6,0
STU-00131,Health,Health,Female,0,Undergraduate,13,63.13,47.93,6.0,56.07,0
STU-00132,Engineering,Engineering,Female,0,Postgraduate,13,59.77,42.6,5.93,46.27,0
STU-00133,Computing,Technology,Female,0,Undergraduate,23,80.7,44.5,6.5,45.27,0
STU-00134,Health,Health,Female,0,Undergraduate,7,61.33,52.2,5.63,42.7,0
STU-00135,Business,Business,Female,0,Postgraduate,43,67.7,56.27,5.47,35.47,0
STU-00136,Health,Health,Male,0,Postgraduate,36,76.17,43.9,6.73,40.97,0
STU-00137,Arts,Humanities,Male,1,Undergraduate,11,66.87,51.2,6.07,33.83,0
STU-00138,Social Sciences,Social Sciences,Male,0,Undergraduate,39,57.9,55.1,5.73,42.33,0
STU-00139,Social Sciences,Social Sciences,Female,0,Undergraduate,3,67.57,45.1,6.0,43.47,1
STU-00140,Engineering,Engineering,Female,0,Undergraduate,29,62.27,45.37,6.47,35.0,1
STU-00141,Social Sciences,Social Sciences,Male,0,Undergraduate,15,74.87,37.93,5.97,50.8,0
STU-00142,Social Sciences,Social Sciences,Female,0,Undergraduate,13,75.17,41.2,5.3,43.77,0
STU-00143,Business,Business,Male,1,Undergraduate,14,68.57,47.4,6.0,43.83,0
STU-00144,Arts,Humanities,Male,0,Undergraduate,38,76.3,38.3,5.67,42.03,0
STU-00145,Engineering,Engineering,Male,0,Undergraduate,17,78.07,32.47,5.8,28.9,0
STU-00146,Engineering,Engineering,Male,0,Undergraduate,24,78.9,48.6,6.57,51.9,0
STU-00147,Business,Business,Male,0,Undergraduate,34,81.6,34.63,6.3,43.27,0
STU-00148,Social Sciences,Social Sciences,Prefer not to say,0,Undergraduate,41,71.13,44.0,5.27,56.87,0
STU-00149,Computing,Technology,Female,0,Undergraduate,18,77.83,35.57,6.67,37.97,0
STU-00150,Social Sciences,Social Sciences,Male,1,Undergraduate,9,67.47,50.13,6.13,42.1,1
STU-00151,Computing,Technology,Female,1,Undergraduate,28,74.43,41.97,6.03,43.67,0
STU-00152,Computing,Technology,Female,0,Undergraduate,25,66.2,47.73,6.23,43.13,0
STU-00153,Health,Health,Female,1,Undergraduate,15,76.27,37.23,5.83,40.9,0
STU-00154,Arts,Humanities,Female,0,Undergraduate,45,75.3,44.63,6.2,56.1,0
STU-00155,Arts,Humanities,Non-binary,0,Undergraduate,48,75.07,50.93,6.0,46.17,0
STU-00156,Engineering,Engineering,Male,0,Undergraduate,25,72.6,41.73,5.93,27.5,0
STU-00157,Computing,Technology,Female,1,Undergraduate,31,80.3,47.67,5.87,34.2,0
STU-00158,Computing,Technology,Female,0,Undergraduate,47,73.13,38.1,6.53,44.17,0
STU-00159,Engineering,Engineering,Female,1,Undergraduate,18,60.33,51.23,6.53,46.07,0
STU-00160,Social Sciences,Social Sciences,Female,0,Undergraduate,14,71.67,44.9,5.73,52.27,0
STU-00161,Engineering,Engineering,Male,0,Undergraduate,37,75.7,38.07,6.27,52.67,0
STU-00162,Arts,Humanities,Female,0,Undergraduate,27,78.7,43.83,5.47,57.77,0
STU-00163,Computing,Technology,Female,1,Undergraduate,35,60.13,60.1,5.5,51.97,0
STU-00164,Arts,Humanities,Male,0,Undergraduate,12,70.13,50.43,6.1,51.53,0
STU-00165,Social Sciences,Social Sciences,Female,1,Undergraduate,22,77.53,41.23,6.17,44.93,0
STU-00166,Arts,Humanities,Male,0,Undergraduate,28,79.13,42.37,6.13,47.03,0
STU-00167,Arts,Humanities,Non-binary,0,Postgraduate,5,65.97,42.0,5.9,41.77,0
STU-00168,Business,Business,Female,0,Postgraduate,19,76.03,51.33,6.43,38.17,0
STU-00169,Health,Health,Non-binary,1,Undergraduate,46,78.0,37.63,6.27,50.6,0
STU-00170,Health,Health,Female,0,Undergraduate,9,76.47,49.53,6.57,39.0,0
STU-00171,Engineering,Engineering,Female,0,Postgraduate,27,69.37,32.2,5.93,43.07,0
STU-00172,Social Sciences,Social Sciences,Prefer not to say,1,Undergraduate,38,67.13,47.8,5.67,44.33,0
STU-00173,Social Sciences,Social Sciences,Female,0,Postgraduate,22,73.97,34.5,6.23,41.37,0
STU-00174,Engineering,Engineering,Non-binary,0,Undergraduate,36,75.77,41.03,6.17,35.67,0
STU-00175,Engineering,Engineering,Female,1,Undergraduate,16,68.33,39.83,6.07,41.43,0
STU-00176,Engineering,Engineering,Male,1,Undergraduate,16,62.13,57.37,5.43,38.2,0
STU-00177,Computing,Technology,Male,0,Postgraduate,4,62.73,45.1,5.87,53.33,0
STU-00178,Engineering,Engineering,Male,0,Undergraduate,32,70.5,50.1,6.43,42.73,0
STU-00179,Health,Health,Female,0,Undergraduate,35,70.93,41.33,6.13,42.37,0
STU-00180,Business,Business,Male,0,Postgraduate,44,74.47,61.9,6.17,62.93,0
STU-00181,Computing,Technology,Female,1,Undergraduate,33,67.13,40.43,6.47,40.4,0
STU-00182,Business,Business,Female,0,Undergraduate,39,76.93,42.33,7.13,52.87,0
STU-00183,Arts,Humanities,Female,0,Undergraduate,22,73.3,49.4,6.23,40.67,0
STU-00184,Engineering,Engineering,Male,0,Postgraduate,9,56.0,44.8,5.67,38.03,0
STU-00185,Business,Business,Female,1,Postgraduate,43,70.4,44.23,5.9,48.63,0
STU-00186,Social Sciences,Social Sciences,Male,0,Postgraduate,45,75.53,47.27,6.6,53.87,0
STU-00187,Business,Business,Female,0,Undergraduate,22,69.33,56.9,5.63,31.8,1
STU-00188,Health,Health,Male,0,Undergraduate,21,75.67,51.43,5.43,46.03,0
STU-00189,Computing,Technology,Female,0,Undergraduate,5,56.73,47.77,5.27,48.3,1
STU-00190,Computing,Technology,Female,0,Postgraduate,26,76.4,42.83,6.43,46.17,0
STU-00191,Social Sciences,Social Sciences,Female,0,Undergraduate,24,72.87,45.5,6.03,49.23,0
STU-00192,Health,Health,Male,0,Undergraduate,43,78.87,29.7,6.23,53.3,0
STU-00193,Computing,Technology,Male,0,Undergraduate,10,58.47,41.6,5.43,33.73,0
STU-00194,Health,Health,Non-binary,0,Undergraduate,34,77.97,37.33,5.6,48.13,0
STU-00195,Health,Health,Male,0,Undergraduate,42,79.2,38.43,6.97,28.03,0
STU-00196,Business,Business,Female,0,Undergraduate,19,74.07,42.57,6.73,38.23,0
STU-00197,Health,Health,Female,1,Undergraduate,7,64.27,37.37,6.07,49.37,0
STU-00198,Engineering,Engineering,Female,0,Undergraduate,9,67.63,37.43,6.2,43.37,0
STU-00199,Business,Business,Male,0,Postgraduate,8,70.07,47.27,6.1,49.57,0
STU-00200,Arts,Humanities,Male,0,Undergraduate,32,80.2,41.27,6.0,51.0,0
STU-00201,Health,Health,Female,1,Undergraduate,37,74.47,31.33,6.6,42.1,0
STU-00202,Social Sciences,Social Sciences,Female,0,Undergraduate,28,74.33,44.53,6.23,43.9,0
STU-00203,Arts,Humanities,Male,0,Postgraduate,5,79.33,38.9,6.0,54.57,0
STU-00204,Business,Business,Female,1,Undergraduate,32,74.83,43.0,6.8,48.4,0
STU-00205,Health,Health,Male,1,Undergraduate,6,64.43,41.67,5.9,51.9,0
STU-00206,Health,Health,Female,0,Undergraduate,12,67.17,48.1,6.2,48.57,1
STU-00207,Engineering,Engineering,Non-binary,0,Undergraduate,2,61.7,48.17,6.63,37.23,0
STU-00208,Engineering,Engineering,Male,0,Undergraduate,37,77.93,27.53,6.9,39.07,0
STU-00209,Arts,Humanities,Male,0,Undergraduate,14,75.1,43.27,5.5,46.63,0
STU-00210,Health,Health,Non-binary,1,Postgraduate,47,75.0,44.83,6.1,55.8,0
STU-00211,Social Sciences,Social Sciences,Female,0,Undergraduate,40,75.47,33.97,6.7,31.4,0
STU-00212,Health,Health,Female,1,Undergraduate,39,85.5,34.4,6.63,44.03,0
STU-00213,Computing,Technology,Male,0,Postgraduate,34,78.13,37.37,6.33,42.03,0
STU-00214,Arts,Humanities,Female,0,Undergraduate,40,85.83,34.2,6.67,40.07,0
STU-00215,Arts,Humanities,Female,0,Undergraduate,5,71.8,55.4,6.33,46.67,0
STU-00216,Arts,Humanities,Male,1,Undergraduate,20,82.17,45.5,6.27,60.73,0
STU-00217,Business,Business,Male,0,Postgraduate,23,74.1,47.27,6.13,37.8,1
STU-00218,Health,Health,Female,0,Undergraduate,40,74.9,52.83,5.4,44.2,0
STU-00219,Arts,Humanities,Male,0,Undergraduate,44,81.8,40.43,6.2,40.0,0
STU-00220,Engineering,Engineering,Female,0,Undergraduate,32,70.17,44.37,6.23,48.43,0
STU-00221,Business,Business,Female,0,Undergraduate,2,60.0,53.43,6.03,42.6,1
STU-00222,Health,Health,Male,0,Undergraduate,12,69.33,48.07,6.03,44.3,1
STU-00223,Social Sciences,Social Sciences,Male,0,Undergraduate,29,69.57,50.93,5.7,48.9,0
STU-00224,Business,Business,Female,1,Undergraduate,27,74.5,52.6,6.23,52.93,1
STU-00225,Engineering,Engineering,Female,0,Undergraduate,43,72.03,46.1,6.2,41.93,0
STU-00226,Computing,Technology,Female,0,Undergraduate,15,63.0,53.5,7.03,49.1,0
STU-00227,Business,Business,Male,1,Undergraduate,7,56.67,52.63,6.4,42.37,0
STU-00228,Engineering,Engineering,Male,1,Undergraduate,12,64.23,46.6,5.53,23.7,0
STU-00229,Arts,Humanities,Female,1,Undergraduate,29,73.5,38.7,6.13,50.57,0
STU-00230,Health,Health,Female,1,Undergraduate,21,59.53,53.4,5.83,33.57,0
STU-00231,Health,Health,Male,0,Undergraduate,36,67.17,41.77,6.0,38.43,0
STU-00232,Health,Health,Male,0,Undergraduate,26,75.27,38.9,6.27,45.1,0
STU-00233,Arts,Humanities,Female,0,Postgraduate,33,80.27,35.1,6.53,50.43,0
STU-00234,Business,Business,Male,1,Postgraduate,41,69.2,52.57,6.2,47.53,0
STU-00235,Computing,Technology,Female,0,Undergraduate,20,69.6,52.03,6.6,32.37,0
STU-00236,Health,Health,Male,1,Postgraduate,20,65.7,49.5,5.53,44.47,1
STU-00237,Business,Business,Female,0,Postgraduate,4,65.57,62.1,6.83,56.1,0
STU-00238,Business,Business,Female,1,Undergraduate,4,67.4,35.8,7.23,48.23,0
STU-00239,Arts,Humanities,Male,0,Undergraduate,18,70.83,38.73,6.4,38.17,0
STU-00240,Social Sciences,Social Sciences,Female,1,Postgraduate,47,69.63,44.1,6.0,43.7,0
STU-00241,Computing,Technology,Non-binary,1,Undergraduate,2,62.97,42.97,5.8,40.6,0
STU-00242,Computing,Technology,Female,0,Undergraduate,19,70.77,51.8,6.37,44.3,1
STU-00243,Engineering,Engineering,Male,0,Undergraduate,6,61.5,48.0,5.97,47.53,0
STU-00244,Computing,Technology,Non-binary,0,Undergraduate,33,71.23,49.97,7.0,55.47,0
STU-00245,Health,Health,Female,0,Undergraduate,39,76.53,39.83,5.7,49.53,0
STU-00246,Business,Business,Male,0,Undergraduate,18,71.17,49.9,6.23,28.47,0
STU-00247,Business,Business,Female,1,Undergraduate,21,75.7,34.27,5.67,50.03,0
STU-00248,Business,Business,Female,0,Postgraduate,18,68.53,49.67,6.53,54.27,1
STU-00249,Computing,Technology,Male,1,Undergraduate,44,63.07,52.3,5.1,38.6,0
STU-00250,Social Sciences,Social Sciences,Female,1,Undergraduate,1,59.43,54.23,6.13,53.67,0
STU-00251,Engineering,Engineering,Prefer not to say,0,Undergraduate,9,58.43,55.53,5.93,54.63,0
STU-00252,Health,Health,Male,0,Undergraduate,41,73.43,44.77,6.73,51.9,0
STU-00253,Computing,Technology,Male,0,Undergraduate,33,75.67,42.8,5.63,49.57,0
STU-00254,Arts,Humanities,Female,1,Undergraduate,12,74.87,37.27,5.63,61.6,0
STU-00255,Health,Health,Female,0,Undergraduate,22,66.53,39.6,5.83,52.0,0
STU-00256,Engineering,Engineering,Male,1,Undergraduate,11,70.37,40.27,5.77,51.13,0
STU-00257,Arts,Humanities,Prefer not to say,1,Undergraduate,45,74.7,44.27,6.67,53.27,0
STU-00258,Health,Health,Female,0,Undergraduate,1,70.83,42.03,6.9,55.3,1
STU-00259,Health,Health,Female,0,Undergraduate,4,68.8,43.87,6.37,38.0,0
STU-00260,Health,Health,Male,1,Postgraduate,41,66.3,40.6,5.33,45.4,0
STU-00261,Engineering,Engineering,Female,0,Undergraduate,34,65.77,44.77,5.57,42.3,0
STU-00262,Business,Business,Male,0,Undergraduate,10,60.23,53.4,6.4,35.47,1
STU-00263,Social Sciences,Social Sciences,Female,0,Undergraduate,24,69.83,40.0,5.83,47.67,0
STU-00264,Arts,Humanities,Female,0,Postgraduate,11,70.07,48.03,5.17,50.4,0
STU-00265,Engineering,Engineering,Male,1,Undergraduate,30,70.9,38.17,6.73,41.0,0
STU-00266,Social Sciences,Social Sciences,Male,0,Undergraduate,38,68.1,44.3,6.57,31.53,0
STU-00267,Arts,Humanities,Male,1,Undergraduate,47,71.3,55.23,6.17,42.5,0
STU-00268,Health,Health,Male,1,Undergraduate,48,71.53,59.57,5.43,60.5,0
STU-00269,Engineering,Engineering,Male,0,Undergraduate,10,61.93,44.07,6.0,42.57,0
STU-00270,Computing,Technology,Non-binary,0,Undergraduate,45,67.33,55.37,5.4,34.13,0
STU-00271,Arts,Humanities,Female,0,Undergraduate,26,76.97,54.07,6.13,58.53,0
STU-00272,Health,Health,Female,0,Undergraduate,48,81.17,53.43,6.1,37.7,0
STU-00273,Computing,Technology,Male,1,Postgraduate,47,72.33,37.8,6.63,37.77,0
STU-00274,Computing,Technology,Male,1,Postgraduate,18,65.97,54.07,6.0,32.47,0
STU-00275,Engineering,Engineering,Female,0,Undergraduate,38,70.87,48.17,5.33,44.0,0
STU-00276,Arts,Humanities,Male,0,Undergraduate,37,69.3,47.13,6.07,33.73,1
STU-00277,Engineering,Engineering,Male,0,Undergraduate,46,69.97,48.2,6.77,55.03,0
STU-00278,Arts,Humanities,Female,0,Undergraduate,17,79.23,42.1,5.77,41.17,0
STU-00279,Social Sciences,Social Sciences,Male,1,Undergraduate,12,68.67,42.03,6.47,40.03,0
STU-00280,Engineering,Engineering,Female,0,Undergraduate,15,63.73,58.93,5.23,43.07,0
STU-00281,Engineering,Engineering,Male,0,Undergraduate,20,65.53,41.0,6.2,52.17,0
STU-00282,Computing,Technology,Female,1,Postgraduate,30,71.03,43.47,5.37,36.9,0
STU-00283,Computing,Technology,Male,1,Undergraduate,39,72.13,41.6,6.23,43.33,0
STU-00284,Arts,Humanities,Male,0,Undergraduate,12,71.9,49.63,6.4,49.57,1
STU-00285,Social Sciences,Social Sciences,Female,0,Postgraduate,6,72.9,38.57,5.3,52.4,0
STU-00286,Social Sciences,Social Sciences,Female,0,Postgraduate,36,63.6,60.2,5.2,27.9,1
STU-00287,Social Sciences,Social Sciences,Prefer not to say,1,Postgraduate,31,72.97,29.7,6.33,53.0,0
STU-00288,Computing,Technology,Male,0,Undergraduate,1,58.47,51.73,5.8,43.93,0
STU-00289,Business,Business,Male,0,Undergraduate,5,68.43,51.1,6.4,58.4,0
STU-00290,Arts,Humanities,Female,1,Postgraduate,46,78.93,37.1,6.17,48.27,0
STU-00291,Computing,Technology,Male,0,Undergraduate,35,71.87,49.1,6.13,56.33,0
STU-00292,Health,Health,Female,1,Undergraduate,15,65.0,45.77,5.9,53.87,0
STU-00293,Arts,Humanities,Male,0,Postgraduate,29,78.1,46.2,6.17,43.27,0
STU-00294,Engineering,Engineering,Female,1,Undergraduate,31,73.67,43.37,5.5,36.97,0
STU-00295,Health,Health,Female,0,Undergraduate,39,67.07,50.67,5.5,34.4,0
