student_key,programme_id,gender,international_flag,study_level,length_of_stay_months,age_band
STU-00165,P06,Female,1,Undergraduate,22,18-20
STU-00166,P05,Male,0,Undergraduate,28,21-24
STU-00167,P05,Non-binary,0,Postgraduate,5,35+
STU-00168,P02,Female,0,Postgraduate,19,18-20
STU-00169,P04,Non-binary,1,Undergraduate,46,18-20
STU-00170,P04,Female,0,Undergraduate,9,25-34
STU-00171,P03,Female,0,Postgraduate,27,18-20
STU-00172,P06,Prefer not to say,1,Undergraduate,38,21-24
STU-00173,P06,Female,0,Postgraduate,22,21-24
STU-00174,P03,Non-binary,0,Undergraduate,36,21-24
STU-00175,P03,Female,1,Undergraduate,16,21-24
STU-00176,P03,Male,1,Undergraduate,16,18-20
STU-00177,P01,Male,0,Postgraduate,4,18-20
STU-00178,P03,Male,0,Undergraduate,32,21-24
STU-00179,P04,Female,0,Undergraduate,35,21-24
STU-00180,P02,Male,0,Postgraduate,44,21-24
STU-00181,P01,Female,1,Undergraduate,33,18-20
STU-00182,P02,Female,0,Undergraduate,39,18-20
STU-00183,P05,Female,0,Undergraduate,22,18-20
STU-00184,P03,Male,0,Postgraduate,9,18-20
STU-00185,P02,Female,1,Postgraduate,43,18-20
STU-00186,P06,Male,0,Postgraduate,45,35+
STU-00187,P02,Female,0,Undergraduate,22,21-24
STU-00188,P04,Male,0,Undergraduate,21,21-24
STU-00189,P01,Female,0,Undergraduate,5,21-24
STU-00190,P01,Female,0,Postgraduate,26,21-24
STU-00191,P06,Female,0,Undergraduate,24,21-24
STU-00192,P04,Male,0,Undergraduate,43,18-20
STU-00193,P01,Male,0,Undergraduate,10,18-20
STU-00194,P04,Non-binary,0,Undergraduate,34,21-24
STU-00195,P04,Male,0,Undergraduate,42,18-20
STU-00196,P02,Female,0,Undergraduate,19,21-24
STU-00197,P04,Female,1,Undergraduate,7,18-20
STU-00198,P03,Female,0,Undergraduate,9,18-20
STU-00199,P02,Male,0,Postgraduate,8,21-24
STU-00200,P05,Male,0,Undergraduate,32,18-20
STU-00201,P04,Female,1,Undergraduate,37,21-24
STU-00202,P06,Female,0,Undergraduate,28,18-20
STU-00203,P05,Male,0,Postgraduate,5,18-20
STU-00204,P02,Female,1,Undergraduate,32,18-20
STU-00205,P04,Male,1,Undergraduate,6,18-20
STU-00206,P04,Female,0,Undergraduate,12,18-20
STU-00207,P03,Non-binary,0,Undergraduate,2,21-24
STU-00208,P03,Male,0,Undergraduate,37,35+
STU-00209,P05,Male,0,Undergraduate,14,18-20
STU-00210,P04,Non-binary,1,Postgraduate,47,18-20
STU-00211,P06,Female,0,Undergraduate,40,25-34
STU-00212,P04,Female,1,Undergraduate,39,21-24
STU-00213,P01,Male,0,Postgraduate,34,25-34
STU-00214,P05,Female,0,Undergraduate,40,25-34
STU-00215,P05,Female,0,Undergraduate,5,18-20
STU-00216,P05,Male,1,Undergraduate,20,21-24
STU-00217,P02,Male,0,Postgraduate,23,35+
STU-00218,P04,Female,0,Undergraduate,40,18-20
STU-00219,P05,Male,0,Undergraduate,44,18-20
STU-00220,P03,Female,0,Undergraduate,32,25-34
STU-00221,P02,Female,0,Undergraduate,2,18-20
STU-00222,P04,Male,0,Undergraduate,12,25-34
STU-00223,P06,Male,0,Undergraduate,29,21-24
STU-00224,P02,Female,1,Undergraduate,27,18-20
STU-00225,P03,Female,0,Undergraduate,43,25-34
STU-00226,P01,Female,0,Undergraduate,15,21-24
STU-00227,P02,Male,1,Undergraduate,7,21-24
STU-00228,P03,Male,1,Undergraduate,12,18-20
STU-00229,P05,Female,1,Undergraduate,29,18-20
STU-00230,P04,Female,1,Undergraduate,21,21-24
STU-00231,P04,Male,0,Undergraduate,36,18-20
STU-00232,P04,Male,0,Undergraduate,26,18-20
STU-00233,P05,Female,0,Postgraduate,33,18-20
STU-00234,P02,Male,1,Postgraduate,41,21-24
STU-00235,P01,Female,0,Undergraduate,20,35+
STU-00236,P04,Male,1,Postgraduate,20,21-24
STU-00237,P02,Female,0,Postgraduate,4,18-20
STU-00238,P02,Female,1,Undergraduate,4,25-34
STU-00239,P05,Male,0,Undergraduate,18,25-34
STU-00240,P06,Female,1,Postgraduate,47,25-34
STU-00241,P01,Non-binary,1,Undergraduate,2,21-24
STU-00242,P01,Female,0,Undergraduate,19,21-24
STU-00243,P03,Male,0,Undergraduate,6,21-24
STU-00244,P01,Non-binary,0,Undergraduate,33,21-24
STU-00245,P04,Female,0,Undergraduate,39,21-24
STU-00246,P02,Male,0,Undergraduate,18,35+
STU-00247,P02,Female,1,Undergraduate,21,25-34
STU-00248,P02,Female,0,Postgraduate,18,25-34
STU-00249,P01,Male,1,Undergraduate,44,18-20
STU-00250,P06,Female,1,Undergraduate,1,18-20
STU-00251,P03,Prefer not to say,0,Undergraduate,9,18-20
STU-00252,P04,Male,0,Undergraduate,41,21-24
STU-00253,P01,Male,0,Undergraduate,33,21-24
STU-00254,P05,Female,1,Undergraduate,12,21-24
STU-00255,P04,Female,0,Undergraduate,22,21-24
STU-00256,P03,Male,1,Undergraduate,11,18-20
STU-00257,P05,Prefer not to say,1,Undergraduate,45,18-20
STU-00258,P04,Female,0,Undergraduate,1,35+
STU-00259,P04,Female,0,Undergraduate,4,25-34
STU-00260,P04,Male,1,Postgraduate,41,21-24
STU-00261,P03,Female,0,Undergraduate,34,25-34
STU-00262,P02,Male,0,Undergraduate,10,21-24
STU-00263,P06,Female,0,Undergraduate,24,25-34
STU-00264,P05,Female,0,Postgraduate,11,18-20
STU-00265,P03,Male,1,Undergraduate,30,21-24
STU-00266,P06,Male,0,Undergraduate,38,21-24
STU-00267,P05,Male,1,Undergraduate,47,18-20
STU-00268,P04,Male,1,Undergraduate,48,21-24
STU-00269,P03,Male,0,Undergraduate,10,18-20
STU-00270,P01,Non-binary,0,Undergraduate,45,35+
STU-00271,P05,Female,0,Undergraduate,26,21-24
STU-00272,P04,Female,0,Undergraduate,48,21-24
STU-00273,P01,Male,1,Postgraduate,47,25-34
STU-00274,P01,Male,1,Postgraduate,18,21-24
STU-00275,P03,Female,0,Undergraduate,38,18-20
STU-00276,P05,Male,0,Undergraduate,37,25-34
STU-00277,P03,Male,0,Undergraduate,46,18-20
STU-00278,P05,Female,0,Undergraduate,17,21-24
STU-00279,P06,Male,1,Undergraduate,12,25-34
STU-00280,P03,Female,0,Undergraduate,15,18-20
STU-00281,P03,Male,0,Undergraduate,20,18-20
STU-00282,P01,Female,1,Postgraduate,30,18-20
STU-00283,P01,Male,1,Undergraduate,39,21-24
STU-00284,P05,Male,0,Undergraduate,12,25-34
STU-00285,P06,Female,0,Postgraduate,6,21-24
STU-00286,P06,Female,0,Postgraduate,36,25-34
STU-00287,P06,Prefer not to say,1,Postgraduate,31,18-20
STU-00288,P01,Male,0,Undergraduate,1,21-24
STU-00289,P02,Male,0,Undergraduate,5,21-24
STU-00290,P05,Female,1,Postgraduate,46,21-24
STU-00291,P01,Male,0,Undergraduate,35,21-24
STU-00292,P04,Female,1,Undergraduate,15,21-24
STU-00293,P05,Male,0,Postgraduate,29,18-20
STU-00294,P03,Female,1,Undergraduate,31,18-20
STU-00295,P04,Female,0,Undergraduate,39,21-24
STU-00296,P01,Female,1,Undergraduate,25,18-20
STU-00297,P03,Male,0,Undergraduate,34,18-20
STU-00298,P04,Male,1,Undergraduate,44,21-24
STU-00299,P06,Male,0,Undergraduate,16,25-34
STU-00300,P01,Female,1,Postgraduate,48,35+
STU-00301,P02,Female,0,Postgraduate,41,21-24
STU-00302,P02,Prefer not to say,1,Undergraduate,6,21-24
STU-00303,P05,Prefer not to say,1,Postgraduate,38,21-24
STU-00304,P03,Non-binary,0,Postgraduate,20,25-34
STU-00305,P02,Female,1,Undergraduate,45,35+
STU-00306,P02,Male,1,Undergraduate,3,21-24
STU-00307,P01,Male,0,Undergraduate,34,25-34
STU-00308,P01,Male,1,Undergraduate,23,21-24
STU-00309,P03,Female,0,Undergraduate,30,18-20
STU-00310,P01,Female,0,Undergraduate,21,21-24
STU-00311,P04,Female,0,Postgraduate,38,18-20
STU-00312,P06,Female,0,Undergraduate,16,21-24
STU-00313,P04,Male,0,Postgraduate,36,18-20
STU-00314,P01,Male,0,Undergraduate,10,25-34
STU-00315,P01,Female,0,Undergraduate,45,25-34
STU-00316,P04,Female,1,Undergraduate,46,35+
STU-00317,P04,Prefer not to say,0,Undergraduate,9,21-24
STU-00318,P06,Female,0,Postgraduate,9,18-20
STU-00319,P02,Female,0,Undergraduate,26,21-24
STU-00320,P01,Female,0,Undergraduate,30,25-34
STU-00321,P01,Female,0,Postgraduate,35,18-20
STU-00322,P05,Female,1,Undergraduate,18,18-20
STU-00323,P01,Female,0,Undergraduate,43,21-24
STU-00324,P05,Female,0,Postgraduate,16,21-24
STU-00325,P01,Female,0,Undergraduate,36,21-24
STU-00326,P01,Non-binary,0,Undergraduate,41,18-20
STU-00327,P06,Male,1,Undergraduate,4,21-24
STU-00328,P01,Non-binary,0,Undergraduate,33,21-24
STU-00329,P01,Female,1,Undergraduate,26,18-20
STU-00330,P06,Male,0,Undergraduate,30,21-24
STU-00331,P05,Female,1,Undergraduate,48,18-20
STU-00332,P03,Male,0,Postgraduate,13,25-34
STU-00333,P02,Male,0,Postgraduate,21,35+
STU-00334,P03,Male,0,Undergraduate,14,21-24
STU-00335,P03,Male,1,Postgraduate,16,25-34
STU-00336,P02,Female,0,Undergraduate,17,18-20
STU-00337,P01,Male,1,Postgraduate,23,18-20
STU-00338,P05,Male,0,Undergraduate,35,21-24
STU-00339,P05,Female,1,Postgraduate,44,18-20
STU-00340,P02,Male,0,Undergraduate,24,18-20
STU-00341,P05,Male,0,Undergraduate,39,25-34
STU-00342,P04,Male,0,Undergraduate,29,35+
STU-00343,P05,Male,0,Undergraduate,19,25-34
STU-00344,P03,Male,1,Undergraduate,12,18-20
STU-00345,P03,Female,0,Undergraduate,40,18-20
STU-00346,P02,Male,0,Postgraduate,47,18-20
STU-00347,P01,Female,0,Undergraduate,22,18-20
STU-00348,P03,Female,1,Undergraduate,44,21-24
STU-00349,P02,Non-binary,0,Undergraduate,20,18-20
STU-00350,P03,Female,1,Undergraduate,2,18-20
STU-00351,P01,Male,0,Undergraduate,6,21-24
STU-00352,P03,Male,0,Postgraduate,31,21-24
STU-00353,P01,Female,1,Undergraduate,44,18-20
STU-00354,P01,Female,1,Undergraduate,6,18-20
STU-00355,P01,Female,0,Undergraduate,17,21-24
STU-00356,P01,Male,0,Postgraduate,48,18-20
STU-00357,P03,Female,0,Undergraduate,38,21-24
STU-00358,P03,Female,0,Undergraduate,16,21-24
STU-00359,P04,Female,1,Postgraduate,21,25-34
STU-00360,P04,Male,0,Undergraduate,32,25-34
STU-00361,P02,Male,0,Postgraduate,16,18-20
STU-00362,P02,Prefer not to say,0,Undergraduate,8,18-20
STU-00363,P03,Female,0,Undergraduate,26,25-34
STU-00364,P03,Female,0,Postgraduate,23,18-20
STU-00365,P01,Male,1,Postgraduate,22,18-20
STU-00366,P05,Female,0,Undergraduate,39,25-34
STU-00367,P01,Female,0,Undergraduate,48,21-24
STU-00368,P03,Female,0,Postgraduate,28,18-20
STU-00369,P04,Female,0,Undergraduate,17,18-20
STU-00370,P02,Female,0,Postgraduate,15,18-20
STU-00371,P01,Male,0,Undergraduate,37,18-20
STU-00372,P04,Female,1,Undergraduate,44,18-20
STU-00373,P06,Female,1,Undergraduate,21,21-24
STU-00374,P04,Female,0,Postgraduate,19,18-20
STU-00375,P03,Male,0,Undergraduate,25,35+
STU-00376,P05,Female,0,Undergraduate,15,18-20
STU-00377,P05,Female,1,Postgraduate,6,21-24
STU-00378,P03,Female,1,Undergraduate,11,21-24
STU-00379,P04,Male,0,Undergraduate,32,21-24
STU-00380,P03,Female,0,Undergraduate,27,21-24
STU-00381,P03,Female,0,Undergraduate,20,18-20
STU-00382,P02,Female,1,Undergraduate,44,21-24
STU-00383,P04,Female,0,Undergraduate,19,18-20
STU-00384,P05,Male,0,Undergraduate,19,25-34
STU-00385,P06,Male,1,Undergraduate,34,21-24
STU-00386,P04,Female,1,Undergraduate,16,21-24
STU-00387,P02,Male,0,Postgraduate,48,21-24
STU-00388,P01,Female,1,Undergraduate,16,21-24
STU-00389,P01,Male,0,Undergraduate,12,25-34
STU-00390,P01,Male,0,Postgraduate,16,25-34
STU-00391,P05,Male,1,Undergraduate,47,21-24
STU-00392,P04,Female,0,Postgraduate,11,21-24
STU-00393,P01,Male,1,Undergraduate,32,21-24
STU-00394,P02,Male,0,Undergraduate,4,25-34
STU-00395,P05,Male,0,Undergraduate,23,25-34
STU-00396,P05,Male,0,Postgraduate,21,21-24
STU-00397,P05,Female,0,Undergraduate,10,21-24
STU-00398,P02,Male,0,Undergraduate,39,21-24
STU-00399,P02,Female,0,Undergraduate,26,35+
STU-00400,P02,Female,1,Undergraduate,13,21-24
STU-00401,P01,Male,0,Undergraduate,1,35+
STU-00402,P04,Female,0,Undergraduate,26,25-34
STU-00403,P03,Female,0,Undergraduate,44,25-34
STU-00404,P04,Male,1,Undergraduate,42,21-24
STU-00405,P05,Female,0,Postgraduate,9,21-24
STU-00406,P04,Male,1,Postgraduate,26,21-24
STU-00407,P06,Male,0,Undergraduate,32,21-24
STU-00408,P04,Female,0,Undergraduate,45,21-24
STU-00409,P03,Female,0,Postgraduate,5,25-34
STU-00410,P01,Female,1,Undergraduate,3,21-24
STU-00411,P04,Prefer not to say,0,Undergraduate,19,25-34
STU-00412,P04,Prefer not to say,0,Postgraduate,4,18-20
STU-00413,P04,Female,1,Undergraduate,1,21-24
STU-00414,P03,Male,1,Undergraduate,14,18-20
STU-00415,P03,Female,0,Undergraduate,16,25-34
STU-00416,P01,Male,0,Postgraduate,15,18-20
STU-00417,P05,Male,0,Postgraduate,10,18-20
STU-00418,P02,Male,0,Undergraduate,36,21-24
STU-00419,P04,Female,1,Postgraduate,33,18-20
STU-00420,P05,Female,1,Undergraduate,12,18-20
STU-00421,P05,Male,0,Postgraduate,18,21-24
STU-00422,P04,Male,0,Undergraduate,27,18-20
STU-00423,P01,Female,0,Postgraduate,27,25-34
STU-00424,P06,Female,0,Undergraduate,17,25-34
STU-00425,P03,Female,0,Undergraduate,35,18-20
STU-00426,P04,Female,0,Undergraduate,43,21-24
STU-00427,P01,Female,0,Postgraduate,47,21-24
STU-00428,P03,Prefer not to say,1,Undergraduate,31,18-20
STU-00429,P02,Male,0,Undergraduate,31,18-20
STU-00430,P03,Female,0,Undergraduate,12,21-24
STU-00431,P04,Female,0,Postgraduate,28,21-24
STU-00432,P02,Male,1,Undergraduate,26,18-20
STU-00433,P02,Prefer not to say,0,Undergraduate,10,25-34
STU-00434,P01,Female,1,Undergraduate,6,21-24
STU-00435,P04,Male,1,Undergraduate,7,21-24
STU-00436,P04,Female,0,Postgraduate,35,18-20
STU-00437,P06,Male,1,Undergraduate,17,21-24
STU-00438,P02,Male,1,Postgraduate,14,21-24
STU-00439,P01,Female,0,Undergraduate,10,21-24
STU-00440,P04,Female,0,Undergraduate,40,25-34
STU-00441,P01,Female,0,Postgraduate,16,25-34
STU-00442,P06,Male,0,Postgraduate,20,21-24
STU-00443,P02,Female,0,Postgraduate,37,21-24
STU-00444,P02,Male,0,Undergraduate,20,18-20
STU-00445,P05,Male,0,Undergraduate,13,35+
STU-00446,P04,Male,0,Undergraduate,8,21-24
STU-00447,P02,Prefer not to say,1,Undergraduate,4,21-24
STU-00448,P02,Female,0,Undergraduate,39,21-24
STU-00449,P06,Male,0,Undergraduate,13,21-24
STU-00450,P05,Male,0,Undergraduate,22,18-20
STU-00451,P06,Male,0,Undergraduate,24,18-20
STU-00452,P03,Female,0,Undergraduate,3,21-24
STU-00453,P03,Male,0,Undergraduate,1,21-24
STU-00454,P01,Non-binary,1,Undergraduate,6,21-24
STU-00455,P03,Female,0,Undergraduate,24,18-20
STU-00456,P05,Prefer not to say,1,Undergraduate,47,25-34
STU-00457,P04,Female,0,Undergraduate,47,18-20
STU-00458,P02,Male,0,Undergraduate,47,35+
STU-00459,P04,Female,0,Undergraduate,2,25-34
STU-00460,P06,Male,0,Undergraduate,24,18-20
STU-00461,P02,Male,1,Postgraduate,34,18-20
STU-00462,P03,Female,1,Undergraduate,10,18-20
STU-00463,P03,Male,0,Postgraduate,9,21-24
STU-00464,P01,Male,0,Undergraduate,18,18-20
STU-00465,P06,Male,0,Postgraduate,25,21-24
STU-00466,P06,Male,0,Undergraduate,13,21-24
STU-00467,P04,Male,0,Undergraduate,21,18-20
STU-00468,P02,Male,1,Postgraduate,12,18-20
STU-00469,P01,Female,0,Undergraduate,35,18-20
STU-00470,P02,Female,0,Undergraduate,4,21-24
STU-00471,P02,Non-binary,0,Postgraduate,24,18-20
STU-00472,P06,Non-binary,0,Postgraduate,15,18-20
STU-00473,P06,Male,1,Undergraduate,2,35+
STU-00474,P01,Female,1,Undergraduate,18,21-24
STU-00475,P04,Female,1,Undergraduate,34,21-24
STU-00476,P03,Female,0,Postgraduate,17,18-20
STU-00477,P04,Female,0,Postgraduate,26,21-24
STU-00478,P03,Male,1,Postgraduate,17,35+
STU-00479,P02,Male,0,Undergraduate,4,18-20
STU-00480,P02,Female,0,Undergraduate,37,21-24
STU-00481,P05,Male,0,Undergraduate,18,25-34
STU-00482,P02,Male,0,Undergraduate,6,18-20
STU-00483,P01,Male,0,Undergraduate,43,25-34
STU-00484,P04,Male,0,Undergraduate,27,18-20
STU-00485,P02,Male,0,Postgraduate,25,21-24
STU-00486,P01,Male,0,Undergraduate,46,18-20
STU-00487,P05,Male,0,Postgraduate,46,21-24
STU-00488,P05,Male,0,Undergraduate,31,25-34
STU-00489,P04,Male,0,Undergraduate,2,21-24
STU-00490,P06,Female,1,Undergraduate,28,21-24
STU-00491,P06,Female,0,Postgraduate,6,25-34
STU-00492,P05,Female,0,Postgraduate,5,25-34
STU-00493,P04,Non-binary,0,Postgraduate,44,21-24
STU-00494,P03,Female,0,Undergraduate,16,21-24
STU-00495,P01,Male,1,Postgraduate,20,21-24
STU-00496,P04,Male,1,Postgraduate,27,18-20
STU-00497,P03,Male,1,Undergraduate,42,18-20
STU-00498,P04,Male,0,Undergraduate,14,21-24
STU-00499,P05,Male,0,Undergraduate,10,21-24
STU-00500,P01,Male,0,Undergraduate,4,18-20
STU-00501,P05,Male,1,Postgraduate,19,35+
STU-00502,P03,Male,1,Undergraduate,25,18-20
STU-00503,P03,Female,0,Postgraduate,39,21-24
STU-00504,P05,Female,0,Undergraduate,25,18-20
STU-00505,P02,Female,0,Undergraduate,32,25-34
STU-00506,P03,Female,1,Undergraduate,37,21-24
STU-00507,P04,Female,1,Undergraduate,28,18-20
STU-00508,P06,Non-binary,1,Undergraduate,37,18-20
STU-00509,P03,Female,0,Undergraduate,35,18-20
STU-00510,P02,Male,0,Postgraduate,25,35+
STU-00511,P02,Female,1,Undergraduate,5,35+
